OBJECTID,long_,lat,thick,alt,Z_Lorenzo,bed_Z
85,86.702825000000004,27.958112000000000,203.342468261718750,4703.000000000000000,4723.5825195,4520
86,86.702894000000001,27.958134999999999,205.937423706054690,4703.000000000000000,4724.4941406,4519
87,86.702963999999994,27.958141999999999,207.420242309570310,4700.000000000000000,4723.6811523,4516
88,86.703048999999993,27.958182000000001,207.420242309570310,4702.000000000000000,4724.3593750,4517
89,86.703085999999999,27.958212000000000,207.420242309570310,4702.000000000000000,4724.8286133,4517
90,86.703170999999998,27.958255999999999,204.454589843750000,4701.000000000000000,4723.1826172,4519
91,86.703242000000003,27.958280999999999,198.152465820312500,4697.000000000000000,4721.9965820,4524
92,86.703283999999996,27.958309000000000,195.557418823242190,4699.000000000000000,4721.0205078,4525
93,86.703350000000000,27.958348000000001,192.220901489257810,4702.000000000000000,4718.8193359,4527
94,86.703395999999998,27.958382000000000,187.030624389648440,4704.000000000000000,4717.4619141,4530
95,86.703450000000004,27.958421000000001,183.693954467773440,4709.000000000000000,4716.2490234,4533
96,86.703507999999999,27.958461000000000,179.615707397460940,4709.000000000000000,4715.5439453,4536
97,86.703592000000000,27.958500000000001,176.278869628906250,4709.000000000000000,4713.4575195,4537
98,86.703644999999995,27.958555000000000,173.683502197265620,4708.000000000000000,4714.8583984,4541
99,86.703719000000007,27.958625000000001,171.829650878906250,4711.000000000000000,4715.0888672,4543
100,86.703750999999997,27.958670999999999,171.458862304687500,4712.000000000000000,4713.9238281,4542
101,86.703783999999999,27.958725999999999,169.975769042968750,4713.000000000000000,4711.3310547,4541
102,86.703845000000001,27.958746999999999,167.751068115234370,4714.000000000000000,4711.7792969,4544
103,86.703879999999998,27.958797000000001,168.121856689453120,4715.000000000000000,4713.2685547,4545
104,86.703965999999994,27.958842000000001,168.121856689453120,4716.000000000000000,4712.6650391,4545
105,86.704052000000004,27.958887000000001,170.346542358398440,4717.000000000000000,4709.8095703,4539
106,86.694616302301711,27.971044561818658,283.863184302199670,4803.899999999999600,4758.5229492,4475
107,86.694676302301701,27.971060561818657,283.863184302199670,4803.899999999999600,4762.7172852,4479
108,86.694676302301701,27.971060561818657,283.178385005849750,4803.899999999999600,4762.7172852,4480
109,86.694739302301699,27.971080561818656,281.808752453843910,4803.699999999999800,4764.6425781,4483
110,86.694739302301699,27.971080561818656,280.438998325062640,4803.699999999999800,4764.6425781,4484
111,86.694781302301706,27.971099561818658,279.746116720212400,4803.399999999999600,4763.7954102,4484
